Date,Close,Volumen
17/09/2015,1.46,11715
18/09/2015,1.47,113424
21/09/2015,1.46,4332
22/09/2015,1.46,3135
23/09/2015,1.46,3863
24/09/2015,1.47,13810
25/09/2015,1.47,4407
28/09/2015,1.49,3800
29/09/2015,1.49,3158
30/09/2015,1.49,3588
01/10/2015,1.49,3107
02/10/2015,1.48,2700
05/10/2015,1.5,17612
06/10/2015,1.42,14000
07/10/2015,1.48,4137
12/10/2015,1.45,26218
13/10/2015,1.45,9110
14/10/2015,1.48,8595
15/10/2015,1.48,2700
16/10/2015,1.47,4266
19/10/2015,1.45,3137
20/10/2015,1.44,3165
21/10/2015,1.47,17642
22/10/2015,1.47,2997
23/10/2015,1.48,4557
26/10/2015,1.51,5536
27/10/2015,1.51,4000
28/10/2015,1.5,6400
29/10/2015,1.5,10127
30/10/2015,1.5,17536
02/11/2015,1.51,18199
03/11/2015,1.5,3314
04/11/2015,1.5,5700
05/11/2015,1.45,10797
06/11/2015,1.45,19856
09/11/2015,1.45,15740
10/11/2015,1.45,23439
11/11/2015,1.45,17775
12/11/2015,1.45,11875
13/11/2015,1.45,12246
16/11/2015,1.45,12766
17/11/2015,1.45,7813
18/11/2015,1.45,12420
19/11/2015,1.45,9007
20/11/2015,1.48,6286
23/11/2015,1.48,2872
24/11/2015,1.47,2878
25/11/2015,1.46,15000
26/11/2015,1.37,37382
27/11/2015,1.37,6060
30/11/2015,1.37,7719
01/12/2015,1.37,9580
02/12/2015,1.37,3019
03/12/2015,1.37,6085
04/12/2015,1.37,5047
07/12/2015,1.37,4379
09/12/2015,1.4,5753
10/12/2015,1.43,4979
11/12/2015,1.43,8286
14/12/2015,1.4,12000
15/12/2015,1.4,4161
16/12/2015,1.4,3018
17/12/2015,1.4,21000
18/12/2015,1.4,4020
21/12/2015,1.43,5595
22/12/2015,1.4,12838
23/12/2015,1.4,12209
24/12/2015,1.45,10777
28/12/2015,1.43,11107
29/12/2015,1.43,19347
30/12/2015,1.42,12500
31/12/2015,1.4,5000
04/01/2016,1.4,9203
05/01/2016,1.4,11068
06/01/2016,1.4,8415
07/01/2016,1.38,11000
08/01/2016,1.38,18532
11/01/2016,1.37,13875
12/01/2016,1.38,13767
13/01/2016,1.37,25232
14/01/2016,1.37,22476
15/01/2016,1.37,13491
18/01/2016,1.36,6698
19/01/2016,1.36,16572
20/01/2016,1.35,13435
21/01/2016,1.35,20951
22/01/2016,1.35,14184
25/01/2016,1.4,40416
26/01/2016,1.4,20715
27/01/2016,1.4,5276
28/01/2016,1.4,17885
29/01/2016,1.4,19736
01/02/2016,1.43,5500
02/02/2016,1.5,5500
03/02/2016,1.5,4500
04/02/2016,1.55,25966
05/02/2016,1.55,5000
08/02/2016,1.55,3293
09/02/2016,1.54,7914
10/02/2016,1.55,5228
11/02/2016,1.55,4094
12/02/2016,1.55,3094
15/02/2016,1.55,3077
16/02/2016,1.55,15137
17/02/2016,1.6,62763
18/02/2016,1.71,5533
19/02/2016,1.8,9367
22/02/2016,1.81,3063
23/02/2016,1.85,5968
24/02/2016,1.85,5000
25/02/2016,2.01,22401
26/02/2016,1.95,3500
29/02/2016,1.87,4500
01/03/2016,1.8,3394
02/03/2016,1.8,6573
03/03/2016,1.8,5203
04/03/2016,1.8,15419
07/03/2016,1.83,5356
08/03/2016,1.8,9807
09/03/2016,1.85,14043
10/03/2016,1.83,2830
11/03/2016,1.8,9966
14/03/2016,1.8,4740
15/03/2016,1.8,5294
16/03/2016,1.8,6436
17/03/2016,1.8,5005
18/03/2016,1.9,20354
21/03/2016,1.9,4300
22/03/2016,1.9,14998
23/03/2016,1.91,7672
28/03/2016,1.85,9222
29/03/2016,1.9,9434
